Date,Close,High,Low,Open,Volume
26/07/21,4102.589844,4106.399902,4072.860107,4103.5,25844200
27/07/21,4064.830078,4099.799805,4056.22998,4099.799805,22912400
28/07/21,4103.029785,4103.450195,4065.25,4067.840088,21437300
29/07/21,4116.77002,4128.810059,4104.97998,4104.97998,22534200
30/07/21,4089.300049,4114.279785,4078.330078,4113.109863,30295500
2/08/21,4116.620117,4135.680176,4095.5,4095.5,22391100
3/08/21,4117.950195,4129.209961,4102.129883,4114.52002,21789200
4/08/21,4144.899902,4150.089844,4124.330078,4124.330078,23473300
5/08/21,4161.080078,4166.140137,4141.299805,4141.299805,22244000
6/08/21,4174.540039,4183.919922,4155.160156,4159.040039,28549500
9/08/21,4177.149902,4186.049805,4170.950195,4175.569824,18159400
10/08/21,4187.819824,4197.120117,4178.589844,4178.589844,16678300
11/08/21,4206.330078,4219.060059,4184.870117,4189.629883,23519200
12/08/21,4226.330078,4232.220215,4204.120117,4205.740234,20472100
13/08/21,4229.700195,4242.259766,4223.490234,4225.72998,18086900
16/08/21,4202.439941,4219.790039,4188.970215,4219.790039,20108600
17/08/21,4196.399902,4202.02002,4172.669922,4197.850098,28102900
18/08/21,4189.419922,4199.5,4179.580078,4197.319824,22129400
19/08/21,4124.709961,4183.740234,4082.070068,4183.740234,31924300
20/08/21,4147.5,4150.660156,4105.990234,4125.299805,22116000
23/08/21,4176.419922,4184.029785,4157.490234,4160.759766,20011300
24/08/21,4178.080078,4197.669922,4163.689941,4182.680176,17977500
25/08/21,4181.120117,4188.22998,4178.169922,4178.169922,17482400
26/08/21,4169.870117,4176.279785,4141.330078,4172.319824,20147000
27/08/21,4190.97998,4192.089844,4160.470215,4167.390137,14670600
30/08/21,4198.799805,4202.870117,4191.790039,4191.990234,11036000
31/08/21,4196.410156,4222.620117,4175.319824,4201.77002,32956600
1/09/21,4227.27002,4251.390137,4207,4207,28014200
2/09/21,4232.100098,4239.02002,4219.419922,4225.029785,18496400
3/09/21,4201.97998,4234.259766,4182.959961,4234.259766,22430000
6/09/21,4246.129883,4252.779785,4204.069824,4204.069824,14030400
7/09/21,4225.009766,4245.759766,4219.859863,4244.399902,19617700
8/09/21,4177.149902,4219.819824,4160.370117,4219.819824,28205800
9/09/21,4177.109863,4194.589844,4134.799805,4171.459961,23634700
10/09/21,4170.350098,4205.220215,4161.089844,4184.049805,23727900
